1951;2 540 807 495
1952;2 586 957 085
1953;2 632 787 502
1954;2 678 896 551
1955;2 725 766 615
1956;2 773 762 631
1957;2 823 131 978
1958;2 874 013 095
1959;2 926 452 535
1960;2 981 394 663
1961;3 036 978 803
1962;3 094 237 385
1963;3 153 380 494
1964;3 214 727 506
1965;3 278 555 015
1966;3 345 008 017
1967;3 414 025 267
1968;3 485 254 803
1969;3 558 117 546
1970;3 632 007 495
1971;3 706 609 481
1972;3 781 872 344
1973;3 857 602 433
1974;3 933 417 605
1975;4 008 989 361
1976;4 084 105 387
1977;4 158 756 254
1978;4 233 302 166
1979;4 308 410 980
1980;4 384 771 573
1981;4 462 682 114
1982;4 542 088 143
1983;4 623 131 680
1984;4 706 216 901
1985;4 791 660 298
1986;4 898 970 836
1987;4 989 616 230
1988;5 081 956 782
1989;5 174 616 988
1990;5 266 183 401
1991;5 355 950 662
1992;5 443 722 939
1993;5 529 621 549
1994;5 613 760 957
1995;5 696 335 791
1996;5 777 414 187
1997;5 856 964 684
1998;5 935 153 167
1999;6 012 508 224
2000;6 089 825 349
2001;6 167 406 568
2002;6 245 218 155
2003;6 323 402 931
2004;6 402 104 428
2005;6 481 482 361
2006;6 561 634 842
2007;6 642 621 707
2008;6 724 367 437
2009;6 806 802 897
2010;6 889 811 477
2011;6 973 271 757
2012;7 057 184 484
2013;7 141 539 483
2014;7 226 154 730
2015;7 310 679 524
2016;7 397 776 362
2017;7 486 520 598
